ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum
ISic020073,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020074,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020075,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020076,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020077,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020078,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020079,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020080,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020081,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020082,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020083,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020084,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020085,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020086,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020087,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020088,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020089,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020090,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020091,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020092,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020093,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020094,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020095,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020096,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020097,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020098,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020099,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020100,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020101,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020102,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020103,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020104,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020105,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020106,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020107,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020108,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020109,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020110,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020111,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020112,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020113,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020114,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020115,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020116,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020117,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020118,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020119,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020120,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020121,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020122,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020123,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020124,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020125,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020126,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020127,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020128,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020129,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020130,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020131,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020132,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020133,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020134,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020135,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020136,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020137,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020138,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020139,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020140,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020141,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020142,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020143,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020144,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020145,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020146,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020147,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020148,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020149,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020150,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020151,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020152,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020153,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020154,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020155,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020156,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020157,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020158,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020159,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020160,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020161,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
