"
ISic",type wip,subtype dropdown,subtype old,subtype,,Ancient place,Date after,Date before,Type of text,Execution ,Language,Link to image,Museum,ref,,test batch,subtype old,,subtype work in progress,formation,details,placeName,category,text description,macro description,micro description,Notes and comments,certainty,", likely ",location,data to check,Udden–Wentworth scale (BGS),matrix/cement,classification Folk,classification Dunham,unit,formation,member,location,geological age,"visually assessed polished (compact), smooth (soft), rough",-supported,brecciated?,visually assessed colour (fresh cut),visually assessed colour (alteration),veined?,visually assessed visible porosity,stylolites?,predominant grain size by class,predominant crystal size by class,visually assessed homogeneity of grainsize,,OM?,OM grains bio,DM grains bio,DM observations,OM dolomite crystals,DM dolomite crystals,OM grains ooids,OM grains pisoids,OM grains oncoids,OM grains peloids,OM grains intra,OM grains extra,OM grains extra description,OM bio grains description,OM grains extra granulometry max (mm),OM matrix micrite,OM cement sparite,OM cement druse,OM cement fibrous,OM quartz,OM quartz granulometry min (mm),OM quartz granulometry max (mm),OM microsparite and sparite (%),OM micrite (%),glauconite,plagioclase,feldspars,limonite,pyrite,apatite,Fe OX-HOX,chert,dolomite,smell,XRD?,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspar,Plagioclase,Pyroxene,Sulphates,Sulphides,Olivine,Graphite,other,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,pXRF Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr
ISic001247,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (dolomitized peloidal grainstone with sparite veins).",greyish limestone with grey veins,dolomitized peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,no,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001248,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (dolomitized peloidal grainstone with sparite veins).",greyish limestone with grey veins,dolomitized peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,no,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001249,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (dolomitized peloidal grainstone with sparite veins).",greyish limestone with grey veins,dolomitized peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,yes,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001250,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (dolomitized peloidal grainstone with sparite veins).",greyish limestone with grey veins,dolomitized peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,no,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001251,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (peloidal grainstone with sparite veins).",greyish limestone with grey veins,peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001252,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (peloidal grainstone with sparite veins).",greyish limestone with grey veins,peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,matrix,no,cream white,,yes,no,no,sand,,,,no,,no,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001254,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (wackestone with sparite veins).",greyish limestone with grey veins,wackestone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,matrix,no,cream white,,yes,no,no,sand,,,,no,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001255,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (peloidal grainstone with sparite veins).",greyish limestone with grey veins,peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,no,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001258,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (dolomitized peloidal grainstone with ammonites, foraminifera, sparite veins).",greyish limestone with grey veins,"dolomitized peloidal grainstone with ammonites, foraminifera, sparite veins",,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001262,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,no,Taormina,Taormina,Taormina,,,,limestone,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (grainstone with peloids and sparitic calcite veins).",greyish limestone with grey veins,grainstone with peloids and sparitic calcite veins,,1,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,micrite,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
