"
ISic",type wip,subtype dropdown,subtype old,subtype,,Ancient place,Date after,Date before,Type of text,Execution ,Language,Link to image,Museum,ref,,test batch,subtype old,,subtype work in progress,formation,details,placeName,category,text description,macro description,micro description,Notes and comments,certainty,", likely ",location,data to check,Udden–Wentworth scale (BGS),matrix/cement,classification Folk,classification Dunham,unit,formation,member,location,geological age,"visually assessed polished (compact), smooth (soft), rough",-supported,brecciated?,visually assessed colour (fresh cut),visually assessed colour (alteration),veined?,visually assessed visible porosity,stylolites?,predominant grain size by class,predominant crystal size by class,visually assessed homogeneity of grainsize,,OM?,OM grains bio,DM grains bio,DM observations,OM dolomite crystals,DM dolomite crystals,OM grains ooids,OM grains pisoids,OM grains oncoids,OM grains peloids,OM grains intra,OM grains extra,OM grains extra description,OM bio grains description,OM grains extra granulometry max (mm),OM matrix micrite,OM cement sparite,OM cement druse,OM cement fibrous,OM quartz,OM quartz granulometry min (mm),OM quartz granulometry max (mm),OM microsparite and sparite (%),OM micrite (%),glauconite,plagioclase,feldspars,limonite,pyrite,apatite,Fe OX-HOX,chert,dolomite,smell,XRD?,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspar,Plagioclase,Pyroxene,Sulphates,Sulphides,Olivine,Graphite,other,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,pXRF Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr
ISic001445,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz).",porous calcarenite,sand-grade grainstone with rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001446,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz, gasteropoda).",porous calcarenite,"sand-grade grainstone with rounded quartz, gasteropoda",,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001447,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade limestone).",porous calcarenite,sand-grade limestone,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001448,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with sub-angular quartz).",porous calcarenite,sand-grade grainstone with sub-angular quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001449,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz).",porous calcarenite,sand-grade grainstone with rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001456,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with sub-angular quartz).",porous calcarenite,sand-grade grainstone with sub-angular quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001457,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,no,Selinunte,Selinunte,Selinunte,,,,calcarenite ,"yellow calcarenite with visible bioclasts, likely pietra di Selinunte (MRS) (grainstone with red algae, globigerinoids, quartz, iron oxides dispersed in the micritic cement).",yellow calcarenite with visible bioclasts,"grainstone with red algae, globigerinoids, quartz, iron oxides dispersed in the micritic cement",,1,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001461,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz).",porous calcarenite,sand-grade grainstone with rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001464,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with sub-angular quartz).",porous calcarenite,sand-grade grainstone with sub-angular quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001465,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,no,Selinunte,Selinunte,Selinunte,,,,calcarenite ,"yellow calcarenite with visible bioclasts, likely pietra di Selinunte (MRS) (grainstone with red algae, sub-angular quartz (also polygenic) ).",yellow calcarenite with visible bioclasts,"grainstone with red algae, sub-angular quartz (also polygenic) ",,1,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001466,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with sub-angular and rounded quartz).",porous calcarenite,sand-grade grainstone with sub-angular and rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001468,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with sub-angular and rounded quartz).",porous calcarenite,sand-grade grainstone with sub-angular and rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001470,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz).",porous calcarenite,sand-grade grainstone with rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001562,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous yellow calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz).",porous yellow calcarenite,sand-grade grainstone with rounded quartz,,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001564,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous yellow calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz, extraclasts).",porous yellow calcarenite,"sand-grade grainstone with rounded quartz, extraclasts",,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,ochre yellow,,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001568,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOCC_selinunte,sicilia-occidentale,calcarenite_SiciliaOCC_selinunte,,,,,,,,,,,,,,,unspecified,,,,,"porous yellow calcarenite, likely pietra di Selinunte (MRS) (sand-grade grainstone with rounded quartz, extraclasts, radiolarians).",porous yellow calcarenite,"sand-grade grainstone with rounded quartz, extraclasts, radiolarians",,,pietra di Selinunte (MRS),,,,,,,,,,,,rough,grain,no,greyish yellow,,no,yes,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000131d,,,,,,,,,,,,,,,,no,,,unspecified,,,,calcarenite,"grey compact limestone with laminations, veins and chonchoidal fracture, likely POZ (marly packstone with planktonic foraminifera (globigerinoids?)).","grey compact limestone with laminations, veins and chonchoidal fracture",marly packstone with planktonic foraminifera (globigerinoids?),,3,POZ,,,,packstone,,,,,,,,smooth,,yes,dark grey,,no,no,no,sand,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000131g,,,,,,,,,,,,,,,,no,,,unspecified,,,,calcilutite,"grey compact limestone with laminations, veins and chonchoidal fracture, likely POZ (marly mudstone-wackestone ).","grey compact limestone with laminations, veins and chonchoidal fracture",marly mudstone-wackestone ,,3,POZ,,,,mudstone-wackestone,,,,,,,,smooth,,yes,grey,,no,no,no,sand,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000131w,,,,,,,,,,,,,,,,no,,,unspecified,,,,sparitic calcite,"grey compact limestone with laminations, veins and chonchoidal fracture, likely POZ (marly mudstone-wackestone ).","grey compact limestone with laminations, veins and chonchoidal fracture",marly mudstone-wackestone ,,3,POZ,,,,,,,,,,,,smooth,,yes,white,,yes,no,no,mud,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000252g,,,,,,,,,,,,,,,,yes,Polizzi_FM,Polizzi_FM,Polizzi_FM,,,Termini Imerese,calcarenite,"grey compact limestone with laminations, veins and chonchoidal fracture, likely POZ (marly resedimented packstone with foraminifera, iron oxides incrustation and fillings, very fine calcite veins).","grey compact limestone with laminations, veins and chonchoidal fracture","marly resedimented packstone with foraminifera, iron oxides incrustation and fillings, very fine calcite veins",,1,POZ,Sicily,,sand-grade,micrite,,packstone,,,,,,smooth,,yes,grey,,no,no,no,sand,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000252w,,,,,,,,,,,,,,,,yes,Polizzi_FM,Polizzi_FM,Polizzi_FM,,,Termini Imerese,calcilutite,"grey compact limestone with laminations, veins and chonchoidal fracture, likely POZ (marly resedimented mudstone with radiolarians).","grey compact limestone with laminations, veins and chonchoidal fracture",marly resedimented mudstone with radiolarians,,1,POZ,Sicily,,mud-grade,micrite,,mudstone,,,,,,smooth,,yes,white,,no,no,no,sand,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001193,stone.limestone.polishable.red,calcare_rosso_SiciliaOR_san_Marco,sicilia-orientale,calcare_rosso_SiciliaOR_san_Marco,rosso S.Marco,,,,,,,,,,,,,,,,,,,"brecciated red limestone with white veins, likely rosso San Marco (pink and deep red nodules, with sparite veins).",brecciated red limestone with white veins,"pink and deep red nodules, with sparite veins",,,rosso San Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001190,stone.limestone.polishable.red,calcare_rosso_SiciliaOR_san_Marco,sicilia-orientale,calcare_rosso_SiciliaOR_san_Marco,rosso S.Marco,,,,,,,,,,,,,,,,,,,"brecciated red limestone with white veins and deep red encrustation, likely rosso San Marco (pink and yellow mudstone to wackestone nodules, whitish infill veins, white and grey sparite veins).",brecciated red limestone with white veins and deep red encrustation,"pink and yellow mudstone to wackestone nodules, whitish infill veins, white and grey sparite veins",,,rosso San Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003124,stone.limestone.polishable.red,calcare_rosso_SiciliaOR_taormina,sicilia-orientale,calcare_rosso_SiciliaOR_taormina,rosso Taormina?,,,,,,,,,,,,,,,,,,,"red brecciated limestone with white sparite veins, likely rosso Taormina (limestone with Fe, Mn encrustation, sparite veins).",red brecciated limestone with white sparite veins,"limestone with Fe, Mn encrustation, sparite veins",,,rosso Taormina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003125,stone.limestone.polishable.red,calcare_rosso_SiciliaOR_taormina,sicilia-orientale,calcare_rosso_SiciliaOR_taormina,rosso Taormina?,,,,,,,,,,,,,,,,,,,"red brecciated limestone with white sparite veins, likely rosso Taormina (micro-crystalline limestone with sparite veins and clayey veins).",red brecciated limestone with white sparite veins,micro-crystalline limestone with sparite veins and clayey veins,,,rosso Taormina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001189,stone.limestone.polishable.red,calcare_rosso_SiciliaOR_san_Marco,sicilia-orientale,calcare_rosso_SiciliaOR_san_Marco,rosso S.Marco,,,,,,,,,,,,,,,,,,,"brecciated red limestone with white veins and deep red encrustation, likely rosso San Marco (pink mudstone to wackestone nodules, whitish infill veins, white and grey sparite veins).",brecciated red limestone with white veins and deep red encrustation,"pink mudstone to wackestone nodules, whitish infill veins, white and grey sparite veins",,,rosso San Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003124p,,,,,,,,,,,,,,,,,lattimusa_FM,lattimusa_FM,iron oxides,san marco ,,,red brecciated limestone,", likely rosso San Marco ().",,,,1,rosso San Marco,,,,,,,,san marco ,,san marco d'alunzio,mesozoic,polished,grain,yes,pink,,yes,no,no,,sparite,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003124x,,,,,,,,,,,,,,,,,calcite_limestone,calcite_limestone,calcite_limestone,,,,red brecciated limestone,", likely rosso San Marco ().",,,,1,rosso San Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000812w,,,,,,,,,,,,,,,,no,calcilutite,calcilutite,calcilutite,,,,tipo scaglia,"compact whitish limestone with chonchoidal fracture, visible fossils and fine veins, likely SCA, LTM (wackestone with foraminifera, sponge spiculae, radiolarians).","compact whitish limestone with chonchoidal fracture, visible fossils and fine veins","wackestone with foraminifera, sponge spiculae, radiolarians",,2,"SCA, LTM",,pXRF,,,,,,,,,,polished,grain,yes,white,,yes,yes,yes,sand,sparite,,,yes,yes,no,,,,,,,,,,scaglia,"fossil fragments, algae, gasteropoda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000007,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,,scaglia_FM,scaglia_FM,unspecified,scaglia,,,,"whitish homogeneous massive limestone with chonchoidal fracture and fine veins, likely tipo scaglia (SCA, AMM) (matrix-supported fossil-bearing (foraminifera) mudstone to wackestone.).",whitish homogeneous massive limestone with chonchoidal fracture and fine veins,matrix-supported fossil-bearing (foraminifera) mudstone to wackestone.,,,"tipo scaglia (SCA, AMM)",,,,,,,,scaglia,,,,polished,grain,no,greyish white,yellowish,yes,no,no,sand,na,no,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000099,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,,,,unspecified,,,,,"whitish homogeneous massive limestone with chonchoidal fracture and fine veins, likely tipo scaglia (SCA, AMM) (matrix-supported fossil-bearing (foraminifera) mudstone.).",whitish homogeneous massive limestone with chonchoidal fracture and fine veins,matrix-supported fossil-bearing (foraminifera) mudstone.,,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,polished,matrix,yes,white,,yes,no,no,sand,na,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000125,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,,,,unspecified,,,,,"whitish homogeneous massive limestone with chonchoidal fracture and fine veins, likely tipo scaglia (SCA, AMM) (matrix-supported fossil-bearing (foraminifera) mudstone).",whitish homogeneous massive limestone with chonchoidal fracture and fine veins,matrix-supported fossil-bearing (foraminifera) mudstone,,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,smooth,,no,white,,no,no,no,sand,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001175,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,yes,scaglia_FM,scaglia_FM,Amerillo_FM,amerillo,,na,calcilutite,"compact whitish limestone with chonchoidal fracture, visible fossils, fine veins and stylolites, likely tipo scaglia (SCA, AMM) (wackestone to packstone with globotruncanid, globigerina).","compact whitish limestone with chonchoidal fracture, visible fossils, fine veins and stylolites","wackestone to packstone with globotruncanid, globigerina",,2,"tipo scaglia (SCA, AMM)",Sicily,,mud-grade,micrite,,packstone,sicanian,amerillo,,,,polished,matrix,no,whitish,cream,yes,no,yes,mud,micrite,,,yes,yes,yes,,,,,,,,,,,planktonic foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001174,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,,,,unspecified,,,,tipo scaglia,"compact whitish limestone with chonchoidal fracture, fine veins , likely tipo scaglia (SCA, AMM) (wackestone to packstone with globotruncanid, globigerina).","compact whitish limestone with chonchoidal fracture, fine veins ","wackestone to packstone with globotruncanid, globigerina",,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,polished,grain,no,whitish,,yes,no,no,mud,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000810,stone.limestone.polishable.white,calcare_bianco_lattimusa,"tipo-scaglia, scaglia, lattimusa",calcare_bianco_lattimusa,,,,,,,,,,,,yes,lattimusa_FM,lattimusa_FM,Lattimusa_FM,,,na,calcilutite,"compact whitish limestone with chonchoidal fracture, visible fossils and fine veins, likely lattimusa (LTM) (marly wackestone with globigerinoids, orbulina?).","compact whitish limestone with chonchoidal fracture, visible fossils and fine veins","marly wackestone with globigerinoids, orbulina?",,2,lattimusa (LTM),Sicily,,mud-grade,micrite,,wackestone,,,,,,polished,matrix,no,whitish,cream,yes,no,no,mud,micrite,,,yes,yes,yes,,,,,,,,,,,"nannoplankton, radiolarians and calpionellids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003459,stone.limestone.polishable.white,calcare_bianco_SiciliaOCC,sicilia-occidentale,calcare_bianco_SiciliaOCC,"brecciated, with scaglia-type elements and grey chert",,,,,,,,,,,,,,,,,,,"compact whitish limestone with chonchoidal fracture, grey chert nodules and veins, likely tipo scaglia (SCA, AMM) (wackestone with foraminifera (globigerinoids, globotruncanids)).","compact whitish limestone with chonchoidal fracture, grey chert nodules and veins","wackestone with foraminifera (globigerinoids, globotruncanids)",,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000816,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,,,,unspecified,,,,tipo scaglia,"compact whitish limestone with chonchoidal fracture, likely tipo scaglia (SCA, AMM) (wackestone with foraminifera (?)).",compact whitish limestone with chonchoidal fracture,wackestone with foraminifera (?),,2,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,polished,grain,no,cream,,yes,yes,yes,sand,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000817,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,,,,unspecified,,,,tipo scaglia,"compact whitish limestone with chonchoidal fracture, veins and stylolites, likely tipo scaglia (SCA, AMM) (wackestone with foraminifera (?)).","compact whitish limestone with chonchoidal fracture, veins and stylolites",wackestone with foraminifera (?),,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,polished,grain,no,cream,,yes,yes,yes,sand,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001130,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",,,,,,,,,,,,no,scaglia_FM,scaglia_FM,calcilutite,Amerillo,,,tipo scaglia ,"compact whitish limestone with chonchoidal fracture and veins , likely tipo scaglia (SCA, AMM) (wackestone with globotruncanid, globigerina and fine calcite veins).",compact whitish limestone with chonchoidal fracture and veins ,"wackestone with globotruncanid, globigerina and fine calcite veins",,,"tipo scaglia (SCA, AMM)",,,,wackestone-packstone,,,sicanian,Amerillo,,,,polished,matrix,no,white,,yes,no,no,mud,micrite,,,yes,yes,no,,,,,,,,,,,planktonic foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001660,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",grey chert nodules,,,,,,,,,,,,,,,,,,,"compact whitish limestone with chonchoidal fracture and grey nodules of chert, likely tipo scaglia (SCA, AMM) (wackestone with calpionellids, globotruncanids, sponge spicolae?).",compact whitish limestone with chonchoidal fracture and grey nodules of chert,"wackestone with calpionellids, globotruncanids, sponge spicolae?",,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001695,stone.limestone.polishable.white,"calcare_bianco_tipo-scaglia, calcare_bianco_scaglia","tipo-scaglia, scaglia, lattimusa","calcare_bianco_tipo-scaglia, calcare_bianco_scaglia",veined,,,,,,,,,,,,,,unspecified,,,,tipo scaglia,"compact whitish limestone with chonchoidal fracture and veins, likely tipo scaglia (SCA, AMM) (wackestone with foraminifera).",compact whitish limestone with chonchoidal fracture and veins,wackestone with foraminifera,,,"tipo scaglia (SCA, AMM)",,,,,,,,,,,,polished,matrix,no,white,,yes,no,no,mud,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
