ISic,,Ancient place,Date after,Date before,Type of text,Execution,Language,Link to image,Museum,ref ,test batch,text description,subtype,subtype dropdown,"certainty for subtype (1 = high, 2 = medium, 3 = low)",notes and comments,macro description,visually assessed granulometry (Very fine < 0.5mm; fine < 1mm; Medium <2mm; Coarse > 2mm),visually assessed colour ,banded and/or veined,visually assessed colour of veins/bands,smell,micro description (OM + DM),OM desc,DM desc,digital microscopy?,digital microscopy MGS (mm),digital microscopy fabric,digital microscopy GBS,digital microscopy triple points,interpreted?,optical microscopy?,optical microscopy MGS (mm),optical microscopy  fabric,optical microscopy GBS,optical microscopy triple points,microstructure,microscopy lineated,microscopy porphyroblasts,microscopy fine grained areas,microscopy strained crystals,XRD?,,XRD carbonate content (%),main carbonate,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspars,Plagioclases,Pyroxenes,Sulphates,Sulphides,Olivine,Graphite,other,XRD cell parameter a (nm) ,XRD cell parameter a (nm) +-,XRD cell parameter c (nm),XRD cell parameters c (nm) +-,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr,microscopy / XRD / EPR: dolomite,microscopy / XRD: plagioclase,microscopy / XRD: rutile,microscopy / XRD: pyrite,microscopy / XRD: magnetite,microscopy / XRD: amphibole,microscopy / XRD: titanite,microscopy / XRD: zircon,microscopy / XRD: serpentine,microscopy / XRD: chlorite,microscopy / XRD: epidote,microscopy / XRD: quartz,microscopy / XRD: K mica,microscopy / XRD: Na mica,microscopy / XRD: Fe ore,microscopy / XRD: gypsum,microscopy / XRD: graphite,microscopy / XRD: apatite,isotopes?,isotopes delta18O,isotopes delta13C,EPR?,EPR Mn2+ ave,EPR Mn2+ stdevp,EPR dolomite %,EPR width ave,EPR width stdevp,EPR g=2.0044 ave,EPR g=2.0044 stdevp,EPR g=14.2515 ave,EPR g=14.2515 stdevp,LA-ICP-MS?,Li 7_2_2_1_1,B 11_2_2_1_1,Na 23_2_1_1,Mg 24_2_1_1,Sc 45_2_1_1,Ti 47_2_1_1,V 51_2_1_1,Cr 52_2_1_1,Mn 55_2_1_1,Fe 57_2_1_1,Co 59_2_1_1,Ni 60_2_1_1,Cu 63_2_1_1,Zn 66_2_1_1,Ga 69_2_1_1,As 75_2_1_1,Rb 85_2_1_1,Sr 88_2_1_1,Y 89_2_1_1,Zr 90_2_1_1,Nb 93_2_1_1,Mo 98_2_1_1,Cd 111_2_1_1,Sb 121_2_1_1,Cs 133_2_1_1,Ba 138_2_1_1,La 139_2_1_1,Ce 140_2_1_1,Nd 142_2_1_1,Sm 152_2_1_1,Eu 153_2_1_1,Gd 158_2_1_1,Dy 164_2_1_1,Er 166_2_1_1,Yb 174_2_1_1,Hf 180_2_1_1,W 184_2_1_1,Pb 208_2_1_1,Bi 209_2_1_1,Th 232_2_1_1,U 238_2_1_1
ISic001120,,,,,,,,,,,yes,"Fine to medium-grained, homogeneous, white marble, likely Parian-1, Parian-2. Optical microscopy: heteroblastic fabric with triple points, mosaic microstructure. Digital microscopy: heteroblastic  fabric. ","Parian-1, Parian-2","Parian-1, Parian-2",2,,"Fine to medium-grained, homogeneous, white marble",Fine to medium,white,homogeneous,none,,"Optical microscopy: heteroblastic fabric with triple points, mosaic microstructure. Digital microscopy: heteroblastic  fabric. ","Optical microscopy: heteroblastic fabric with triple points, mosaic microstructure. ",Digital microscopy: heteroblastic  fabric. ,yes,1.7,heteroblastic ,"c, e",,yes,yes,1.9,heteroblastic,"e, s",triple points,mosaic microstructure,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.97,1.98,yes,,,,,,,,,,yes,0.42000,6.58000,21.87000,2678.43000,0.06346,30.11000,0.37000,2.96000,17.05000,156.92000,0.12000,1.76000,1.52000,12.26000,0.05000,0.42000,0.12000,125.01000,4.49000,0.13000,0.02000,0.01000,0.16000,0.10000,0.01000,1.48000,2.25000,0.60000,1.24000,0.19000,0.04000,0.19000,0.32000,0.23000,0.15000,0.00322,10.50000,8.06000,1.00000,1.09000,0.02000
ISic001138,,,,,,,,,,,yes,"Very fine-grained, with nodules, deep red, calcitic marble, likely unspecified. Optical microscopy: heteroblastic to homeoblastic fabric with fine-grained areas. Digital microscopy: homeoblastic to heteroblastic fabric. Likely a forgery - not an ancient stone.",unspecified,unspecified,1,Likely a forgery - not an ancient stone.,"Very fine-grained, with nodules, deep red, calcitic marble",Very fine,deep red,with nodules,white,,Optical microscopy: heteroblastic to homeoblastic fabric with fine-grained areas. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: heteroblastic to homeoblastic fabric with fine-grained areas. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.4,homeoblastic to heteroblastic,c,,no,yes,0.4,heteroblastic to homeoblastic,"e, su",,,,,fine-grained areas,,yes,,,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001140,,,,,,,,,,,,"Coarse-grained, banded, white marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3",2,,"Coarse-grained, banded, white marble",Coarse,white,banded,grey,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,2.1,heteroblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001143,,,,,,,,,,,,"Very fine-grained, homogeneous, white marble, likely Aphrodisian, Lunense, Docimian, Pentelic. Digital microscopy: homeoblastic to heteroblastic fabric. ","Aphrodisian, Lunense, Docimian, Pentelic","Aphrodisian, Lunense, Docimian, Pentelic",3,,"Very fine-grained, homogeneous, white marble",Very fine,white,homogeneous,none,,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.3,homeoblastic to heteroblastic,c,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001158,,,,,,,,,,,yes,"Very fine-grained, homogeneous, white, calcitic (with dolomite) marble, likely Pentelic. Optical microscopy: heteroblastic to homeoblastic fabric with triple points. Digital microscopy: homeoblastic to heteroblastic fabric. ",Pentelic,Pentelic,1,,"Very fine-grained, homogeneous, white, calcitic (with dolomite) marble",Very fine,white,homogeneous,none,,Optical microscopy: heteroblastic to homeoblastic fabric with triple points. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: heteroblastic to homeoblastic fabric with triple points. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.5,homeoblastic to heteroblastic,c,,,yes,0.9,heteroblastic to homeoblastic,"c, e",triple points,,,,,,yes,,0,calcitic (with dolomite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-5.59,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001256,,,,,,,,,,,,"Coarse-grained, banded, white marble, likely Aphrodisian, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3","Aphrodisian, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3",2,,"Coarse-grained, banded, white marble",Coarse,white,banded,grey,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,2.3,heteroblastic,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001269,,,,,,,,,,,,"Very fine-grained, veined, white marble, likely scritto. Digital microscopy: indistinguishable fabric. ",scritto,scritto,2,,"Very fine-grained, veined, white marble",Very fine,white,veined,grey,,Digital microscopy: indistinguishable fabric. ,,Digital microscopy: indistinguishable fabric. ,yes,0.2,indistinguishable,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001279-6,,,,,,,,,,,,"Medium-grained, homogeneous, white marble, likely Aphrodisian, Parian-2, Parian-1, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Aphrodisian, Parian-2, Parian-1, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white","Aphrodisian, Parian-2, Parian-1, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white",2,,"Medium-grained, homogeneous, white marble",Medium,white,homogeneous,none,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,2,heteroblastic to homeoblastic,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001279-7,,,,,,,,,,,,"Very fine-grained, homogeneous, white marble, likely Lunense. Digital microscopy: homeoblastic fabric. ",Lunense,Lunense,2,,"Very fine-grained, homogeneous, white marble",Very fine,white,homogeneous,none,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.2,homeoblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001299,y,,,,,,,,,,yes,"Very fine-grained, banded, white marble, likely Lunense. Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic fabric. ",Lunense,Lunense,1,,"Very fine-grained, banded, white marble",Very fine,white,banded,grey,,"Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic fabric. ","Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. ",Digital microscopy: homeoblastic fabric. ,yes,0.5,homeoblastic,c,,yes,yes,0.5,homeoblastic,"s, c",triple points,mosaic microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.04,2.15,,,,,,,,,,,yes,1.51000,3.48000,67.38000,3148.46000,0.08646,536.74000,1.24000,5.05000,25.48000,242.02000,0.57000,1.59000,1.71000,7.75000,0.18000,0.21000,0.56000,167.67000,1.13000,1.77000,0.23000,0.03000,0.31000,0.09000,0.05000,5.14000,0.97000,1.14000,0.57000,0.11000,0.03000,0.11000,0.11000,0.09000,0.08000,0.01074,38.51000,6.86000,3.53000,0.15000,0.08000
ISic001308,,,,,,,,,,,,"Coarse-grained, banded, white marble, likely Aphrodisian, Parian-2, Parian-3, Proconnesian, Thasian-1, Thasian-2, Thasian-3. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Parian-2, Parian-3, Proconnesian, Thasian-1, Thasian-2, Thasian-3","Aphrodisian, Parian-2, Parian-3, Proconnesian, Thasian-1, Thasian-2, Thasian-3",2,,"Coarse-grained, banded, white marble",Coarse,white,banded,grey,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,2.7,heteroblastic,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001314,,,,,,,,,,,,"Very fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: homeoblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Very fine-grained, homogeneous, white marble",Very fine,white,homogeneous,none,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.5,homeoblastic,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001323,,,,,,,,,,,,"Very fine-grained, homogeneous, white marble, likely Lunense. Digital microscopy: homeoblastic fabric. ",Lunense,Lunense,2,,"Very fine-grained, homogeneous, white marble",Very fine,white,homogeneous,none,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.2,homeoblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001344,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: homeoblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,none,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.6,homeoblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001355,,,,,,,,,,,,"Fine to medium-grained, banded, white marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Thasian-3, Ephesian_scritto, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Thasian-3, Ephesian_scritto, Ephesian_white","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Thasian-3, Ephesian_scritto, Ephesian_white",2,,"Fine to medium-grained, banded, white marble",Fine to medium,white,banded,dark grey,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.6,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001359,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: heteroblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,none,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,0.6,heteroblastic,"c, s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001362,,,,,,,,,,,,"Medium-grained, homogeneous, white marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white. Digital microscopy: indistinguishable fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white",2,,"Medium-grained, homogeneous, white marble",Medium,white,homogeneous,none,,Digital microscopy: indistinguishable fabric. ,,Digital microscopy: indistinguishable fabric. ,yes,2,indistinguishable,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001399,y,,,,,,,,,,yes,"Very fine to fine-grained, banded, white, calcitic (with dolomite) marble, likely Hymettan, Pentelic. Optical microscopy: heteroblastic to homeoblastic fabric with triple points, mosaic microstructure, lineated. Digital microscopy: indistinguishable fabric. muscovite","Hymettan, Pentelic","Hymettan, Pentelic",2,muscovite,"Very fine to fine-grained, banded, white, calcitic (with dolomite) marble",Very fine to fine,white,banded,green and grey,,"Optical microscopy: heteroblastic to homeoblastic fabric with triple points, mosaic microstructure, lineated. Digital microscopy: indistinguishable fabric. ","Optical microscopy: heteroblastic to homeoblastic fabric with triple points, mosaic microstructure, lineated. ",Digital microscopy: indistinguishable fabric. ,yes,0.8,indistinguishable,na,,yes,yes,0.4,heteroblastic to homeoblastic,"s, e",triple points,mosaic microstructure,lineated,,,,yes,muscovite,0,calcitic (with dolomite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-2.53,2.93,yes,,,,,,,,,,yes,56.02000,14.66000,367.01000,12393.81000,0.28955,65.53000,13.56000,57.30000,90.48000,7.20000,13208.20000,2.13000,37.16000,1.99000,30.46000,1.68000,3.08000,40.73000,508.83000,0.32000,0.33000,0.11000,0.40000,0.47000,2.66000,4.26000,26.24000,0.21000,0.36000,0.15000,0.04000,0.01000,0.04000,0.04000,0.04000,0.02020,0.01000,124.58000,9.19000,0.99000,0.03000
ISic001425,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Docimian, Parian-1, Pentelic. Digital microscopy: heteroblastic fabric. ","Docimian, Parian-1, Pentelic","Docimian, Parian-1, Pentelic",2,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,none,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,1.1,heteroblastic,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001435,,,,,,,,,,Basile and Lazzarini 2012,,"Coarse-grained, homogeneous, white, calcitic marble, likely Naxian. Optical microscopy: heteroblastic fabric with mosaic microstructure, strained crystals. Digital microscopy: heteroblastic fabric. Published in Basile and Lazzarini 2012.",Naxian,Naxian,1,Published in Basile and Lazzarini 2012.,"Coarse-grained, homogeneous, white, calcitic marble",Coarse,white,homogeneous,none,,"Optical microscopy: heteroblastic fabric with mosaic microstructure, strained crystals. Digital microscopy: heteroblastic fabric. ","Optical microscopy: heteroblastic fabric with mosaic microstructure, strained crystals. ",Digital microscopy: heteroblastic fabric. ,yes,6.3,heteroblastic,c,,yes,yes,2.96,heteroblastic,c,,mosaic microstructure,,,,strained crystals,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,2.58,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001514,,,,,,,,,,,,"Fine to medium-grained, banded, white marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_scritto, Ephesian_white, Thasian-3. Digital microscopy: indistinguishable fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_scritto, Ephesian_white, Thasian-3","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_scritto, Ephesian_white, Thasian-3",2,,"Fine to medium-grained, banded, white marble",Fine to medium,white,banded,grey,,Digital microscopy: indistinguishable fabric. ,,Digital microscopy: indistinguishable fabric. ,yes,1.6,indistinguishable,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001520,,,,,,,,,,,,"Fine-grained marble, likely Lunense, Docimian, Pentelic. Digital microscopy: heteroblastic to homeoblastic fabric. ","Lunense, Docimian, Pentelic","Lunense, Docimian, Pentelic",2,,Fine-grained marble,Fine,,,,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1,heteroblastic to homeoblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001523,,,,,,,,,,,,"Very fine to fine-grained, banded, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: homeoblastic to heteroblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Very fine to fine-grained, banded, white marble",Very fine to fine,white,banded,silver,,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.5,homeoblastic to heteroblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001527,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Lunense, Pentelic. Digital microscopy: homeoblastic fabric. ","Lunense, Pentelic","Lunense, Pentelic",3,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,1,homeoblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001528,,,,,,,,,,,,"Coarse-grained, homogeneous, white marble, likely Aphrodisian, Parian-2, Proconnesian, Thasian-1, Thasian-2, Parian-3. Digital microscopy: heteroblastic to homeoblastic fabric. ","Aphrodisian, Parian-2, Proconnesian, Thasian-1, Thasian-2, Parian-3","Aphrodisian, Parian-2, Proconnesian, Thasian-1, Thasian-2, Parian-3",2,,"Coarse-grained, homogeneous, white marble",Coarse,white,homogeneous,none,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,2.7,heteroblastic to homeoblastic,"s, c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001531,,,,,,,,,,,,"Very fine-grained, banded, white marble, likely Aphrodisian, Lunense, Docimian, Algerian_scritto_Mt-Filfila, Pentelic. Digital microscopy: homeoblastic fabric. ","Aphrodisian, Lunense, Docimian, Algerian_scritto_Mt-Filfila, Pentelic","Aphrodisian, Lunense, Docimian, Algerian_scritto_Mt-Filfila, Pentelic",3,,"Very fine-grained, banded, white marble",Very fine,white,banded,grey,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.3,homeoblastic,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001535,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: homeoblastic to heteroblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,none,,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.6,homeoblastic to heteroblastic,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001543,,,,,,,,,,,,"Fine to medium-grained, banded, white marble, likely Aphrodisian, Docimian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_scritto, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Aphrodisian, Docimian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_scritto, Ephesian_white","Aphrodisian, Docimian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_scritto, Ephesian_white",2,,"Fine to medium-grained, banded, white marble",Fine to medium,white,banded,grey,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.4,heteroblastic to homeoblastic,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001544,,,,,,,,,,,,"Fine to medium-grained, homogeneous, white marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_scritto, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_scritto, Ephesian_white","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_scritto, Ephesian_white",2,,"Fine to medium-grained, homogeneous, white marble",Fine to medium,white,homogeneous,none,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.7,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
