ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000036,ISic000036,yes,yes,no,no,stone.marble,TRUE,,,"identification based on XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS","XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS",,,,XRD,optical microscopy,stable isotopes analysis,EPR,LA-ICP-MS,yes,yes,,ISic000036,yes,488,488,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000037,ISic000037,yes,yes,,,stone.marble,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000037,,301,500,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000038,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000038,,201,600,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000039,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000039,,101,300,Panhormus,Palermo,marble,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000040,ISic000040,yes,no,yes,,stone.marble,TRUE,,,"identification based on digital microscopy, XRD","digital microscopy, XRD",,,digital microscopy,XRD,,,,,,,,ISic000040,,1,150,Calacte,Caronia,limestone,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000041,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000041,,1,100,,Sant'Agata di Militello,breccia (di San Marco),funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000042,ISic000042,yes,no,,,stone.calcarenite,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000042,,1,38,Segesta,Segesta,limestone,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000043,ISic000043,,,,,mortars,TRUE,,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000043,,401,500,Selinus,Selinunte,tuff,funerary,chiselled,Latin and Ancient Greek,Museo Archeologico Regionale Antonino Salinas,
ISic000044,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000044,,151,250,Syracusae,Siracusa,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000045,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000045,,101,200,Syracusae,Siracusa,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
